CID,SD,SD Z-score,DR,XC50,Activity,neut-smiles,Embeddings,# atoms,Max atomic num
135420722,36.75,5.091555489,4.581864502,26.19,Active,O=C(NN=Cc1c(O)n(Cc2ccco2)c(=O)[nH]c1=O)c1ccccc1O,"[0.17667638, -0.35653087, -0.7867093, -1.5655137, 0.71032465, -0.25225902, 0.86393917, -1.2842789, 0.9994879, 0.73444235, -0.54178494, -0.5408893, -1.0396477, 2.3542306, -0.9635772, 0.7538409, 2.4425683, 2.087091, 0.14392705, -0.64932245, -1.1620858, 1.9717906, 1.7925338, 0.26063615, 0.4657851, -2.2442489, 0.946005, 1.0899875, 0.05556682, 0.14631714, 0.8459255, 1.2602724, -0.08924358, -2.0150847, 0.41005358, -0.2803127, 0.7720552, 0.4471849, 2.1001406, 1.9024689, -0.94276166, 1.8785373, 0.11502781, -3.2719886, 0.7627871, -2.3385143, 1.6785415, 0.43054867, 1.4504396, -1.9500597, 1.0555971, 2.4601052, -2.526483, -0.6338253, -0.82541794, -0.54405475, 1.3562787, -3.050892, 1.8745754, 0.09166159, 0.2192426, 1.5965486, -0.02065769, -0.12942107]",27,53
1162877,36.89,5.11312011,4.266000713,54.2,Active,O=c1[nH]c2ccc(Br)cc2c(-c2ccccc2)c1CN1CCOCC1,"[-0.22323875, 0.39252934, -0.8526497, -0.2032078, 1.7639083, 1.3763099, 1.1005565, -1.9773701, 0.09361265, 1.2114941, -0.26637286, -0.61945945, 0.39679584, 2.1705377, 1.1136303, -1.5788927, -0.46466604, 0.93009555, -0.43101624, -1.2899576, -0.30047238, 0.52042925, -0.05555917, -0.8732981, -2.0779347, -2.3277104, 1.3097918, -1.838566, 1.6979841, 1.9007792, -1.7751006, 1.1579645, 1.2917407, -0.3575928, -1.4016018, -2.1411018, -0.52363163, -1.7273921, 1.2915641, 2.1428273, 0.03748553, 1.2834245, 0.78257215, -2.5200753, 0.6598859, -0.42588875, 0.77403444, 0.41114348, 1.4422395, 0.29879832, 2.2446084, 0.30555078, 0.2745116, 1.0030166, -1.6557523, -1.1848588, 2.8191302, 2.0093062, 0.07556897, -1.3182744, -0.06857747, 1.3001328, -1.0226691, 1.73331]",25,53
1613895,31.1,4.221269007,3.990081915,102.31,Active,O=C(CCCN1C(=O)C(=Cc2ccco2)SC1=S)Nc1ccccc1C(=O)O,"[0.03232449, -1.8952111, -1.8059481, -0.12473296, 0.9406596, -0.45441967, 1.3918136, -0.61386764, 0.5657476, 1.2390598, 0.45888478, 0.10133107, -1.186449, 1.3088657, -0.16354913, -0.36036333, 1.4598168, 1.1681117, -0.5677823, -0.29245883, -1.7030406, 2.3578947, 0.15120798, -0.29269028, -0.23635268, -1.4844251, -0.1876737, 0.53470963, -2.1762114, 1.9234501, -0.8037286, -0.46329105, -1.2631351, -1.2012187, 0.714045, -0.4930386, -0.50125, -1.0694083, 1.0844424, 1.491636, 0.09640871, 2.6615183, 2.3520103, -3.1864834, 0.5541162, -1.7915858, 0.73694223, 0.8835652, 1.0883254, -2.6389582, -0.08011065, 1.591998, -1.245521, -1.2593106, -0.6186492, -0.17022477, 0.55641156, -3.7857587, 0.83654976, 2.1375525, 1.418085, 0.11879751, -1.140195, 1.1759996]",28,53
2006667,38.94,5.428887771,4.350859936,44.58,Active,Cn1cccc1C=C1SC(=S)N(NC(=O)c2ccccc2O)C1=O,"[-0.75839216, -2.2318769, 1.133499, -0.9354131, 1.2181861, 1.0227026, 1.9127098, -0.24900445, 0.06379216, 1.5642474, 0.07628905, 1.2906526, -0.82579726, 1.2077422, -0.15923962, 0.825049, 0.5114245, 1.4361094, 0.11218956, -1.5651463, 0.2980242, 0.9641391, 1.7173486, 1.0418507, 0.24793024, -0.8107085, 1.0390574, -0.8761524, -1.9199034, 1.1317275, 0.0275898, -1.1541693, -0.691494, -3.040383, 1.0425806, -3.6142266, -0.35743558, -0.32754758, -0.6268351, 1.4608985, -0.83835083, 1.5410835, 0.53225905, -0.97563034, -1.803373, -4.255065, 1.5932772, 1.1408411, 0.6670885, 0.33648655, 0.7431223, 1.5605094, -0.1799292, -0.5696536, -0.25183225, 2.8306217, 0.7261744, -1.7640748, 0.10544386, 0.24362904, 0.88529855, 0.47450262, -0.6726933, 0.41924316]",24,53
5429720,39.96,5.586001437,4.481222931,33.02,Active,Cc1c(Cc2ccccc2)c(=O)oc2c(CN(C)C)c(O)c(Cl)cc12,"[-0.22410907, 0.02975254, 0.12887947, -1.6242844, 0.53006834, 2.1899776, 1.5237963, 0.48073763, 0.3670136, -1.2196332, -0.51096857, -0.38840926, 0.6158051, 1.052827, 0.09211058, 1.7531725, 0.93971676, 1.1224624, -0.17630707, -0.8114683, -0.10885897, 1.5819215, 0.9187799, -1.1016501, 0.5008515, 0.4324047, 1.8525951, 0.6851156, 0.16663367, 1.4998658, -3.513516, -1.5607024, -0.21978514, -1.1374419, 1.2550592, -1.2684473, 2.8098054, -0.4489606, 1.3388723, -1.3945583, -0.7450569, 2.414179, -0.04083635, 0.06701619, -0.92661995, -1.0843126, 1.1746167, 1.6409035, 1.0176653, -0.6251224, 1.8114245, 0.12808494, -2.1256323, -1.1714302, 0.7544965, 1.2134081, 1.7919183, 0.00638884, 2.1987782, -0.09742972, 2.2992086, 1.9687986, -0.78371227, 0.8309763]",25,53
665992,29.05,3.905501346,4.161591722,68.93,Active,Cc1cc(OCc2nn[nH]n2)c2c3c(c(=O)oc2c1)CCCC3,"[-0.19611743, 0.13394196, 0.21377498, -1.8055004, -1.2086356, 1.075791, -0.07152438, 1.5795921, -0.2752077, 0.57472193, 0.47328475, -0.3409152, 0.5300781, -1.251772, 2.8873312, 1.9925959, 1.0810825, -0.46748832, 0.43694872, -0.02874602, 0.3866977, 1.3490702, 1.045256, 1.3628482, -0.39877522, -0.3166732, 1.5512192, 0.87291, -0.17034382, -2.0632112, -0.44871262, -2.2050683, 1.0938065, 0.03478045, 0.3972664, 2.190063, -0.19671899, 1.7280071, 0.5961089, -1.2550168, -0.8737491, 0.7986867, -2.2487478, -0.06624773, 0.745074, -0.2275624, -0.5533436, -0.12194478, -1.228617, 1.1935822, 0.9519178, -1.1958736, -0.54402936, -0.5142826, -0.1066718, -0.44623005, -1.6751181, 2.0034509, 0.36554497, -1.7253813, -1.4794463, 2.5853322, -1.1276125, 0.83397645]",23,53
1301485,30.62,4.147333165,3.862677544,137.19,Active,O=C(Nc1ccc(Cl)cc1C(=O)O)c1ccc2c(c1)C(=O)N(Cc1ccco1)C2=O,"[-1.107993, 0.43176264, -2.376793, -0.42078242, 0.60720974, -1.24629, -0.60914856, -1.2664819, -0.8762393, 0.26654604, 0.01342869, 2.0836215, 0.20286275, -0.27802232, 0.4841677, 1.0036043, 1.8668907, -2.4916012, -1.3518716, -1.8468906, -2.3911035, 0.82546484, 1.8234122, 0.6805195, -1.418322, -0.033709, 2.122211, -1.5199547, 1.3763049, -1.0238504, -0.62190837, 1.9316815, 0.93002003, -1.1840271, -1.0957816, -0.13007738, 1.8256336, -0.02854094, 0.78877383, 1.3515366, 0.2679761, 0.33657712, 2.4113936, -4.340781, 1.0559635, -2.7070465, 1.712258, -2.1473632, 0.9073972, -0.2911999, 1.880159, 0.72207016, -1.925784, -1.542246, -2.325873, -2.9946983, 1.4465215, 0.2715736, 0.76744246, -1.5460941, -0.70137817, -0.21192731, -0.7853451, 0.0067952]",30,53
12005346,92.94,13.74667007,5.288192771,5.15,Active,CS(=O)(=O)C1=NSC2=NC(=O)C(=Cc3cccn3-c3ccc(Cl)cc3)C(=N)N21,"[-0.58777535, -0.75987852, -2.9408078, -0.44180015, 1.9463984, 2.4577653, 3.2776191, 0.0036881948, -1.02169, 2.1036308, 0.25573513, 1.2371526, -0.15423431, 1.6295485, -2.9504349, 2.8332705, 3.6489758, 2.0771573, -0.65134341, -6.5180335, -0.089054137, 2.5602672, 3.2544255, -1.2834934, -0.28390124, -3.0688133, 1.8198426, -1.003979, -0.44657755, 2.9156008, -0.25445303, -1.3831102, -1.3698105, -3.942301, 2.363692, -4.6764669, 1.8055582, -0.99068785, 1.6531234, 2.6694992, -2.759609, 3.6771662, 0.12974463, -4.2266898, -2.6232965, -4.4986587, 2.5562232, 1.6342649, 2.1184914, -4.7255249, 2.8718822, 1.663406, -2.7334282, -1.1625247, -0.19028908, 2.9751735, 2.1412003, -1.6379331, 2.1147616, 1.4661423, 2.5009136, 2.0282896, -1.4847585, 1.5277742]",28,53
12006156,31.76,4.322930791,4.024522237,94.51,Active,Cc1ccc(C)c(CS(=O)(=O)c2cn(CC(=O)N3CCCCC3)c3ccccc23)c1,"[-0.30230099, -1.2828543, 0.067052595, -1.2789054, -0.96264702, 3.0873351, -1.2224861, 1.2394443, 1.4656569, -0.93190837, 0.60927057, 0.16852084, -0.48027605, -0.25036761, 3.3080387, 1.2033165, -1.7726513, 1.1534936, -0.32988483, -0.85493237, -0.71676278, 1.3044398, 2.0187612, 0.66632396, -1.0373038, 0.79658967, 1.8062359, -0.95403057, -0.037822038, 0.4394736, -2.126297, -0.57254577, 0.65334857, -1.5457106, 1.1945848, 1.2514811, -2.8489997, 2.0520802, -0.0027406637, 1.6226155, -0.9542768, 0.16178493, -1.0039401, -1.7365807, 1.736745, -1.9939232, 1.179292, 1.9866147, -2.9915864, -2.7803364, 0.35034531, 0.22367236, -1.4094694, -0.032947354, -0.37390453, 0.65421939, 0.80246913, 0.032029811, -0.49033162, -3.7245901, 1.5571947, 1.9984679, -0.3566466, 1.200289]",30,53
647886,27.86,3.722202069,4.220547817,60.18,Active,COCCCn1c(=N)c(C(=O)NCC2CCCO2)cc2c(=O)n3ccccc3nc21,"[1.0257844, 0.3773781, 0.9019958, -1.186486, 1.6351728, 0.11123282, 1.48781, 0.8187604, 0.7256926, -0.21742503, -1.093578, -0.68002254, -0.9611919, 2.1692147, 1.4841295, -0.39980352, 0.39628372, -0.7674236, 0.4709282, -2.0440323, 1.591307, 1.0248953, -0.09368876, 1.2367046, 0.45817, -2.5828097, 0.8773477, 1.554232, 0.6001061, -1.2040597, 0.23245132, -0.6255725, 0.22331147, -1.8503785, 2.6245267, -0.4311002, 0.48704052, -0.7487887, -0.8763765, 1.0926474, 0.3108573, 0.5282972, 1.0447891, -2.0740755, -1.3510526, 2.4441383, 2.7440233, 0.5604988, 1.0423532, 0.9105485, -1.216584, -0.03286675, 0.9359372, -0.13093379, 1.5484334, 0.78063047, 0.13220254, 0.21726894, 0.10934494, 1.4204884, -0.52699035, 0.92786914, -0.27870348, 0.956111]",30,53
