CID,SD,SD Z-score,DR,XC50,Activity,neut-smiles,Embeddings,# atoms,Max atomic num
1311429,29.43,3.964033888,4.181444221,65.85,Active,COc1cc(C=C2SC(=O)N(c3ccccc3Cl)C2=O)cc([N+](=O)[O-])c1O,"[-0.35491762, -0.3253803, 0.2840774, -1.0962428, -0.19690715, 1.6278081, 1.8690789, -1.7978367, -1.795481, 0.96114093, -0.9235483, 1.7131095, -0.6274557, -1.139317, 0.06724546, 1.5313444, -0.65301186, 0.96496546, -0.939149, -3.0413494, -0.9990111, 1.7869352, 1.4997696, -0.57532245, -1.1751829, -1.6682278, 0.8028939, -0.58111256, 1.1954418, 1.3015714, 0.3196897, -1.8013196, -1.5934932, -2.949346, 0.96515083, -1.6055889, -2.0931113, -0.27951995, 0.9116697, 1.6886002, -0.4460578, 1.3026423, 0.2684769, -2.5263963, 1.0727931, -2.1014793, 2.3086483, 0.14557512, 1.3161898, -1.7142944, 0.9992586, -0.20658392, -1.6919333, -0.93233335, 0.16434611, -0.16670871, -0.8620272, 1.3092285, -1.7332277, 0.58640695, 0.51269686, 1.0074514, -0.36106637, -0.84613675]",27,53
4402813,54.74,7.862609259,4.487182241,32.57,Active,CCOC(=O)NN1C(=O)c2ccccc2NC12CCCC2,"[-0.02358442, 0.2600706, -1.7011726, 0.14953347, 1.3448514, -0.6353005, 1.8416659, 0.91611344, 0.75074244, 2.0321338, 1.246039, -0.43716675, 0.05378687, 2.085372, -0.8036324, 2.700687, 1.5693765, 2.092691, -0.3971089, 0.7837362, -0.7819446, 0.6131176, 1.3049637, -0.28210962, -0.7585169, 0.76652026, -2.2135453, -0.551022, 0.6551359, 1.5570225, -0.5019063, 0.8749631, 0.24422637, -0.6678025, -1.5585688, -0.88198084, 0.34879395, -0.55776376, -0.9742914, 2.3832374, 0.19278507, 1.6906533, 0.0094852, -1.7166501, 1.3104184, 0.8409558, 1.7126709, -0.25407594, -0.3855294, -1.1318184, 1.9657875, 2.504215, -0.5350955, -0.0741332, -0.6084773, 1.7129216, 1.9620221, -1.4790521, 1.0627002, 1.0773754, 0.81255156, -1.3305144, -0.6775292, 1.3613737]",21,53
2310918,38.62,5.379597209,4.29191919,51.06,Active,C=CCn1c(=C(C#N)c2nnc3n2CCCCC3)sc(=Cc2ccc(O)cc2)c1=O,"[0.16771583, -0.54793072, 1.347666, -1.5113204, 1.3750242, 2.3438249, 1.30525, -1.2246249, 0.56531185, -1.7227433, -1.4801497, 0.29018328, 0.68420815, 1.7211932, 2.2566423, 1.8629787, 2.0955667, 1.3327308, -0.49338883, -2.2637384, 1.1244488, 1.7716472, 0.81889969, -0.085620321, -0.84318906, -0.6289953, -0.78631246, 0.44636628, 1.3113093, 0.38610536, -0.22058262, -1.0772651, -2.0592453, -0.81742513, -0.8255586, -0.37703922, -0.0023223218, 0.74541098, 1.3753737, 3.0571318, -0.87047434, 1.7019687, -1.8433429, -0.095963188, 0.24840499, -4.1913877, 1.7627896, -0.15348177, 1.5377425, -0.63575041, -0.49351206, -0.95739889, -1.9487984, -0.072275102, -0.6055668, 0.95456511, 0.32428589, -1.6748887, 0.56299186, 1.0782317, 1.1538143, 0.83496374, -0.089462578, 0.26833585]",30,53
748047,48.05,6.832128452,4.387428046,40.98,Active,O=C(O)CSc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,"[-1.0890602, -0.01624727, -2.0053551, -0.03066022, 1.5850803, 1.9044657, 1.8641653, -1.9886206, 1.079594, -0.67798084, -0.9236488, -0.41847712, -1.007208, 1.3556474, -1.1156384, 1.1746739, 2.2440135, 1.6695883, -1.2128867, -0.12435339, 0.21287885, 0.4867918, 2.1359754, -0.6661136, -0.2372489, -1.0728586, 0.7797864, -0.5819238, 1.6451565, 2.4195633, -0.50752324, -1.7303486, 0.09534065, -2.4688754, -0.1622225, -2.4257822, 0.85599154, -1.981088, 0.7611547, -0.4246444, -0.46238756, 2.2698169, 0.96750724, -1.0253615, -1.6955613, -1.8063935, 1.0773472, 0.32780734, 2.2421474, -2.5661416, 3.7240067, 1.3318849, -0.5335832, -1.2089962, -1.2301788, 0.95953923, 1.11792, -1.772281, 0.30312574, -0.05821382, 0.96557975, 1.7253567, -0.5162633, 2.5619147]",23,53
2102207,33.3,4.56014162,4.162537829,68.78,Active,CCn1c(CSc2nc3ccccc3s2)nnc1SCC(=O)c1ccc(O)c(O)c1,"[0.21415342, -0.7984998, -0.5079269, 0.18517831, 0.41887054, 1.2133218, 0.46563557, -0.08800916, -1.0927764, 1.8390632, -1.4445775, -1.9464344, -0.63198847, 1.6218721, -0.7176934, -1.1235126, 1.2616465, -0.35600305, -0.34173167, -1.8825852, -2.0706868, 2.2003183, -0.94120604, 0.71425134, 0.27046558, -1.1352895, 0.5830589, -1.1656238, 0.08435486, 2.3303316, -2.2747028, -1.3603004, -1.6178832, -2.478989, -0.01998881, -2.0286503, 0.69926506, -0.6111522, 1.580332, 0.8158363, -1.1359782, 0.7734337, 0.20692514, -1.8221887, 0.696924, -2.371208, 1.1866477, 0.44121295, 0.5281473, 0.9929054, -1.35679, 0.24891812, -1.1762422, -0.1905634, -1.0851227, 0.11366307, 2.3048027, 0.63323355, -3.0894482, 3.1080797, -0.35700926, 2.381348, -1.7487664, -0.50768805]",30,53
135420984,34.16,4.692610004,4.070121476,85.09,Active,CCn1c(O)c(C=NNC(=O)c2ccncc2)c(=O)[nH]c1=S,"[-0.46679196, -0.10106492, -0.9620694, 1.6094439, 0.86084956, -0.29711092, 1.3119696, 0.5178965, -0.5587885, 1.0211499, -1.8358188, 0.5021567, -0.5585156, 1.9331325, 0.85973054, 3.1370087, -0.5759178, 1.251665, -0.2643035, -2.2988105, -0.89328915, 0.92999625, 1.1979492, 0.35379082, -0.0099465, -1.0073504, 0.09763506, 0.67906773, 0.44767743, -0.01372708, -0.17848124, -1.1497294, -1.0354339, -2.5507615, -0.8750103, -1.0013243, -1.3440453, -0.18430749, 0.11624325, 1.091114, 0.06570651, 2.1349792, 0.4262286, -2.8425124, -0.6385632, -0.37717274, 0.8483428, 1.3120339, 1.5444814, 0.43100062, 1.3826661, 1.0944928, -1.3681568, -1.3067122, -1.4196745, -0.8922047, 1.2802011, -1.0414823, 0.58812433, 1.0547076, 0.1322564, -0.880355, -0.22118123, 1.927945]",22,53
16189301,96.64,14.31659219,5.492144128,3.22,Active,CC(=O)N1C(=O)C(=C2SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)c2ccccc21,"[-2.187285, -2.4844933, -0.76289326, -1.0477697, 2.4600914, 3.600343, 2.9986136, -2.303729, -1.601263, 2.461631, -2.8689318, 0.8608674, -0.7355342, 3.069339, -0.6055189, 4.0382557, 3.232599, 2.7159014, -0.69840544, -3.1609802, 0.38926822, 2.9292173, 0.97858995, 0.07204781, -1.2925448, -6.0904036, 1.8917156, -0.35650986, -1.366102, 2.860421, -0.2565044, -1.3792403, -1.5620193, -4.1571326, 2.851698, -4.0440106, 1.6805822, -1.252707, 1.6317693, 2.0212805, -2.209601, 2.7699854, 1.7379532, -3.9791543, 2.6673164, -4.5335555, 1.4423473, 2.0136678, 2.9633622, -4.1221075, 3.1697233, 2.457757, -1.2005881, -0.1112117, -1.1499602, 1.8771082, 2.8088512, -2.363294, 2.2748399, 1.218641, 1.0168867, 2.060742, -0.64408445, 0.6677618]",31,53
2263192,87.28,12.87484326,4.784626847,16.42,Active,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1cccc(-c2nc3ccccc3o2)c1,"[-1.1377528, -0.48944864, -2.420444, 0.41429424, 2.235095, 2.6000082, 1.9929978, -2.0753765, 2.2773316, -0.94451624, 0.33053163, -0.84683573, -0.18572094, 3.0862381, -2.0992255, 2.2886467, 3.1263473, 2.5522108, -1.4285753, -1.6434467, -2.4268632, 1.3802714, 2.8334913, 1.1602509, -0.6470584, -2.440447, 2.110343, -1.0633276, -0.6611347, 2.5911968, -1.1802121, 1.1191378, 0.13439968, -3.8436258, -0.55244344, -2.9208589, 2.6113708, -1.8941216, 1.8201133, 1.8610172, -0.93706954, 1.9654235, 1.2548935, -4.6902685, 0.27436143, -4.56006, 2.6564069, 0.9935346, 2.2671478, -1.4475579, 2.8155596, 3.3053374, -0.07301486, -0.976943, -1.5490775, 1.9683626, 2.236598, -5.1080284, 1.353961, 2.8745267, 1.571013, 1.5497131, -1.2899088, 2.4848943]",33,53
135472770,46.63,6.613401584,4.685922008,20.61,Active,O=C(O)C(Cc1ccccc1)N=Cc1c(O)c2ccccc2oc1=O,"[-0.880557, -0.34345913, -2.6715488, -0.48048922, 0.20281889, 1.7022963, 1.6641695, -0.82005095, 1.0439646, 0.8435109, 0.553894, 0.85778123, -2.0318124, 1.9052377, -0.9250625, 2.3740518, 0.9870137, 1.3435819, -0.72029644, -1.252844, -0.34153023, 1.1846068, 1.8458064, 0.438548, -0.6199704, -1.1359559, -0.17274551, -0.69622916, -1.2544218, 1.2782246, -0.5096443, -1.0349323, -0.55686575, -3.6890078, 1.4433264, -2.4788928, 1.0109526, -1.8247372, 2.4622927, 0.98484516, 0.00995273, 1.7935425, 0.35397097, -2.3593647, -1.343396, -2.1477306, 1.3445448, 0.7100693, 1.4038789, -2.8988984, 1.4345127, 1.0797695, 0.4243927, -0.16873701, -1.3973316, 1.2565567, 0.7642093, -1.8944713, 0.5819374, 1.2396239, 1.4640442, 2.1641068, -1.2986492, 0.74576604]",25,53
4882031,40.95,5.738494112,4.292089334,51.04,Active,O=C(NCc1cccs1)C1CCN(S(=O)(=O)c2ccccc2F)CC1,"[-0.6756569, 0.05193397, 0.5496224, -1.1881866, -1.6862563, -1.0023546, 0.33839676, 0.74571574, 1.5649056, -1.8663778, -0.5465723, -1.3129033, 0.61964566, 0.85109043, 1.7120531, 1.4979254, 1.5337931, 1.0594802, 0.38190487, 0.935658, 0.44055805, 1.3676796, 1.130786, -1.4411782, 0.05816045, -0.652472, 0.4108774, 0.7666603, 1.5486313, 2.291126, 0.40240645, 1.5024571, -0.15682429, -1.0614215, 0.34599873, 1.0854261, 1.4277034, -0.17251296, 0.22415566, -2.082745, 0.23011772, 0.02518101, -0.26004666, -1.1838379, 1.5704921, 0.898852, -2.1159759, 0.35267296, 1.5936893, -1.2214886, 1.6739473, 1.5337296, 0.60830593, -0.02192679, -2.363021, 1.45012, 2.1883664, -2.6196346, 1.0951273, -2.9123223, 1.3362845, 0.9563096, -0.35594678, 1.7771314]",25,53
